3,CONCEPTO,1985/86,1986/87,1987/88,1988/89,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,  1996/97,  1997/98,  1998/99,  1999/00,  2000/01,  2001/02,  2002/03,  2003/04,  2004/05,  2005/06,  2006/07,  2007/08,  2008/09,  2009/10,  2010/11,  2011/12,  2012/13,  2013/14,  2014/15,  2015/16,,CONCEPTO,  2011/12,  2012/13,  2013/14,  2014/15,  2015/16,  2016/17,  2017/18,2018/19,2019/20,2020/21,2021/22
27,    Secundaria Obrero Campesina,5595,3276,2272,1966,1999,1490,1208,844,642,414,362,402,378,701,717,588,592,420,469,596,554,643,843,752,548,256,183,132,114,157,148,,Escuelas de deporte           ,-,2522,2512,2929,3220,3218,3548,3127,3239,3851,3435
28,    Facultad Obrero Campesina,5211,5495,5801,5805,6095,6054,5718,5081,5487,4901,5258,5037,4868,4190,4069,4310,4124,2984,2912,2561,2802,3853,5949,7498,9328,6728,5958,4915,4091,3332,3452,,Adultos,6858,5587,4763,4003,4072,4221,,,,,
29,  Idiomas,966,984,992,985,978,970,1035,1059,1089,944,953,929,820,754,719,673,631,514,473,453,455,465,478,462,476,470,466,414,403,390,334,,   Educación obrero campesina ,251,126,155,124,138,178,4295,4166,4221,4320,4603
30, Cursos de Superación Integral para Jóvenes,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,4653,6257,7219,9317,10354,9594,6930,820,-,-,-,-,-,-,,   Secundaria obrero campesina,183,132,114,157,148,155,96,64,68,20,30
31,  Cursos del Ministerio del Azúcar,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,6817,6665,4367,2176,1305,961,439,22,-,-,-,-,-,,   Facultad obrero campesina,5958,4915,4091,3332,3452,3508,201,142,111,48,51
32, Especial,12411,12939,13375,13829,15141,16197,16879,16296,15175,12366,12912,13486,13552,13485,14023,14417,14481,14612,14479,14412,14642,14955,14927,14914,15478,15951,15839,15703,15489,15382,15278,,   Idiomas,466,414,403,390,334,380,3567,3515,3519,3642,3833
33, Superior,19552,21573,22492,23364,24499,24668,24915,25726,24848,23340,22967,22574,21596,21573,21318,20753,22046,23657,24723,27986,32126,41425,52235,62288,62509,65489,53891,47355,44222,45490,43491,,Especial,15839,15703,15489,15382,15278,14679,431,445,523,610,689
34,  Ministerio de Educación Superior,7914,8095,8217,8600,8523,8180,8521,8243,8123,7852,7528,7562,7141,6773,6470,6590,6664,6971,7617,7974,9228,8768,9489,10728,10560,10966,12283,12088,13446,15838,19640,,Superior(b),53891,47355,44222,45490,43491,53627,14016,13877,14129,14565,14294
35,  Ministerio de Educación,5873,6462,6937,7310,7627,7797,8658,7964,7482,6263,5928,5635,5518,5514,5412,4993,5306,5892,6116,6386,6614,6986,7084,7862,8016,7865,7645,6929,6859,4226,777,,  Ministerio de Educación Superior,12283,12088,13446,15838,19640,20387,19585,18630,18936,19524,18154
36,  Ministerio de Salud Pública,4377,5465,5651,6103,6857,7269,6185,7844,7586,7846,8058,7974,7588,8210,8322,8064,8857,9397,8843,11755,13807,22643,31891,38374,38297,40539,29341,23594,21410,23175,22415,,  Ministerio de Educación,7645,6929,6859,4226,777,-,-,-,-,…,…
37,  Otros organismos,1388,1551,1687,1351,1492,1422,1551,1675,1657,1379,1453,1403,1349,1076,1114,1106,1219,1397,2147,1871,2477,3028,3771,5324,5636,6119,4622,4744,2507,2251,659,,  Ministerio de Salud Pública,29341,23594,21410,23175,22415,32973,33461,34858,34844,34334,34334
38, Otras,518,541,520,432,409,223,20,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,-,-,-,-,-,-,-,-,-,,  Otros organismos,4622,4744,2507,2251,659,267,267,267,279,220,215
