RAMAS DE LA CIENCIA,2015/16,2016/17,2017/18,2018/19,2019/20
Total,635,638,648,734,597
Ciencias Técnicas,...,27,38,32,23
Ciencias Agropecuarias,...,18,21,27,29
Ciencias Económicas,...,52,...,34,33
Ciencias Médicas,267,284,315,416,...
Ciencias Sociales y Humanísticas,...,69,71,75,73
Pedagogía,...,188,175,115,389
Deporte y Cultura Física,...,-,28,35,50
