RAMAS DE LA CIENCIA,2016/17,2017/18,2018/19,2019/20,2020/21
Total,5373,5192,5988,7042,420
Ciencias Técnicas,...,252,325,948,6
Ciencias Agropecuarias,...,156,166,268,11
Ciencias Económicas,...,572,690,56,26
Ciencias Médicas,1970,2261,2670,2847,...
Ciencias Sociales y Humanísticas,...,778,782,742,57
Pedagogía,...,1012,1170,1963,312
Deporte y Cultura Física,...,161,185,218,8
