CONCEPTO,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22
Escuelas,439,444,446,541,541,541
Personal docente,12470,12041,11069,12171,12528,9334
Matricula inicial,83322,82291,82395,84236,79805,70832
Graduados,16390,15623,15010,19389,11749,...
Becarios,5437,5694,5984,5726,4372,2507
Seminternos,24387,28178,28424,28825,28107,28154
