RAMAS DE LA CIENCIA,2016/17,2017/18,2018/19,2019/20,2020/21
Total,8245,8170,9180,10555,8305
Ciencias Técnicas,...,443,1423,1230,180
Ciencias Agropecuarias,...,407,490,769,943
Ciencias Económicas,...,945,46,66,1528
Ciencias Médicas,2972,3449,3835,4097,...
Ciencias Sociales y Humanísticas,...,1042,1517,993,1138
Pedagogía,...,1308,1208,2436,3655
Deporte y Cultura Física,...,576,661,964,862
