De,ello:,Mujeres,5775,4192,2989,2,560,3171,a
Cursos,6,239,4491,2,634,2036,2,208,a
Entrenamientos,1858,888,349,695,813,oe,,,
Diplomados,872,835,615,424,601,oe,,,
Maestrias,y,especialidades,1767,1337,1089,673,806,a,
Doctorados,403,147,126,160,360,oe,,,
