Ciencias,Técnicas,299,579,230,(294,966,703,,,
Ciencias,Agropecuarias,231,388,275,397,640,466,,,
Ciencias,Econémicas,483,543,311,468,895,651,,,
Ciencias,Médicas,2,233,2,462,1,966,wee,4066,2958
Ciencias,Sociales,y,Humanisticas,552,482,189,538,793,577,
Pedagogia,1621,1315,556,2,309,2176,1582,,,
Deporte,y,Cultura,Fisica,188,382,164,290,630,458,
