Ciencias,Técnicas,826,856,902,612,1517,1099,,,
Ciencias,Agropecuarias,329,519,759,603,1282,929,,,
Ciencias,Econémicas,922,665,698,418,1200,850,,,
Ciencias,Médicas,2870,3,164,3,482,2252,5,880,4251
Ciencias,Sociales,y,Humanisticas,620,713,778,348,1314,952,
Pedagogia,586,1969,1974,952,3331,2413,,,,
Deporte,y,Cultura,Fisica,349,629,661,223,1116,839,
