Ciencias,Técnicas,103,164,181,68,143,285,,
Ciencias,Agropecuarias,18,18,26,31,113,32,,
Ciencias,Econémicas,39,54,"63,",49,183,94,,
Ciencias,Médicas,377,374,395,wee,wee,648,,
Ciencias,Sociales,y,Humanisticas,38,82,96,74,73,142
Pedagogia,74,83,105,316,227,144,,,
Deporte,y,Cultura,Fisica,13,15,27,41,119,26
