Concepto,2017,2018,2019,2020,2021,2022
Total,4462,4622,4606,4935,4992,4701
2° año,562,599,536,748,847,631
3° año,998,969,1067,1214,1113,1049
4° año,1171,1196,1171,1196,1197,1166
5° año,1147,1259,1220,1215,1215,1286
6° año,584,599,612,562,620,569
Niños de 0 a 5 años por 10 000 niños en esas edades,1519,1484,1485,1836,1956,1964
