Concepto,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21
Total,7706,8070,7668,6949,5984,5730
Primaria,2308,2182,1970,2131,2285,2354
Media,4178,4535,4371,3954,3593,3295
Secundaria básica,2358,2440,2428,2165,2026,1630
Preuniversitario,1037,1060,1072,1009,1057,1014
Técnica y profesional,624,881,741,639,373,512
Formación de personal pedagógico,159,154,130,141,137,139
Adultos,753,818,806,644,...,18
Especial,99,90,103,113,106,63
Superior,368,445,418,107,...,...
