CONCEPTO,2016/17,2017/18,2018/19,2019/20,2020/21
Primaria,616,615,629,637,628
Secundaria básica,300,300,279,273,286
Preuniversitario,116,115,116,110,92
Técnica y profesional,153,153,147,151,129
Técnico medio,110,109,112,116,117
Obrero calificado,14,14,11,14,11
Superior,175,196,197,227,180
