Concepto,2017,2018,2019,2020,2021,2022
Total,4002,4119,2165,3391,3704,3027
2 año,395,503,305,397,451,438
3 año,898,875,564,782,"665,",830
4 año,1075,1092,553,818,"733,",922
5 año,1064,"1153,",538,"863,",726,1017
6 año,570,556,205,531,452,497
