3,CONCEPTO,1985/86,1986/87,1987/88,1988/89,1989/90,1990/91,  1991/92,  1992/93,  1993/94,  1994/95,  1995/96,  1996/97,  1997/98,  1998/99,  1999/00,  2000/01,  2001/02,  2002/03,  2003/04,  2004/05,  2005/06,  2006/07,  2007/08,  2008/09,  2009/10,  2010/11,  2011/12,  2012/13,  2013/14,  2014/15,  2015/16,,CONCEPTO,  2011/12,  2012/13,  2013/14,  2014/15,  2015/16,  2016/17,  2017/18,2018/19,2019/20,2020/21,2021/22
26, Escuelas de Arte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1404,1427,2072,612,526,,  Técnica y profesional,28573,28664,27269,25143,24365,23848,22170,22650,23780,24325,24896
27, Escuelas de deporte,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,1904,1871,2151,2619,,    Ministerio de Educación (b),26314,24737,22447,21174,19900,18618,17536,17097,19494,20698,21302
28, Adultos,13932,11527,10501,10056,10276,9452,8831,7798,7835,6690,6969,6698,6401,6085,5892,5836,5633,8737,17076,17585,17598,17578,18300,16736,11725,7605,6821,5553,4728,3967,4037,,    Otros organismos,2259,3927,4822,3969,4465,5230,4634,5553,4286,3627,3594
29,    Educación Obrero Campesina,2245,1862,1505,1361,1261,1001,920,861,661,506,445,387,388,488,445,334,350,281,276,242,253,229,264,242,198,199,248,124,154,122,136,,   Escuelas pedagógicas,1354,1895,2274,2314,2244,2149,2286,2316,2697,2936,2927
30,    Secundaria Obrero Campesina,5575,3257,2269,1964,1999,1488,1207,844,641,412,361,400,376,700,713,588,588,414,464,591,550,640,839,748,545,255,181,130,112,155,147,, Escuelas de arte,1404,1427,2072,612,526,1708,1875,1817,2037,3173,3031
31,    Facultad Obrero Campesina,5164,5443,5753,5762,6053,6010,5683,5051,5457,4843,5223,4996,4831,4155,4034,4258,4085,2944,2879,2522,2765,3814,5901,7453,9267,6671,5932,4891,4063,3304,3423,, Escuelas de deporte,-,1904,1871,2151,2619,2398,2735,2328,2315,2936,2754
32,    Idiomas,948,965,974,969,963,953,1021,1042,1076,929,940,915,806,742,700,656,610,497,455,440,443,453,467,450,466,458,460,408,399,386,331,, Adultos,6821,5553,4728,3967,4037,4189,4263,4133,4188,4283,4540
33,   Cursos de Superación Integral para Jóvenes,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,4601,6188,7134,9229,10274,9529,6884,814,-,-,-,-,-,-,,      De ello: Mujeres,3993,3267,2831,2592,2433,2693,2710,2709,2732,2734,2928
34,   Cursos del Ministerio del Azúcar,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,6814,6656,4358,2168,1300,959,435,22,-,-,-,-,-,,   Educación obrero campesina ,248,124,154,122,136,177,95,64,67,20,29
35, Especial,7569,7902,8213,8634,9767,10679,11209,11035,10118,8351,8050,8327,8267,8014,8335,8512,8672,8886,8885,8902,9094,9614,9815,10041,10431,10356,10348,10202,9913,9543,9355,,   Secundaria obrero campesina ,181,130,112,155,147,154,199,142,111,48,50
36, Superior,19552,21573,22492,23364,24499,24668,24915,25726,24848,23340,22967,22574,21596,21573,21318,20753,22046,23657,24723,27986,32126,41425,52235,62288,62509,65489,53891,47355,44222,45490,43491,,   Facultad obrero campesina ,5932,4891,4063,3304,3423,3481,3544,3485,3490,3608,3780
37,    De ello: Mujeres,8328,9346,9768,10416,11030,10962,11362,11901,11392,10600,10382,10253,10288,10288,10372,10120,10347,11388,12992,14407,16853,22033,29823,34674,34674,36614,29918,21031,24663,25677,25518,,   Idiomas,460,408,399,386,331,377,425,442,520,607,681
38,   Ministerio de Educación Superior ,7914,8095,8217,8600,8523,8180,8521,8243,8123,7852,7528,7562,7141,6773,6470,6590,6664,6971,7617,7974,9228,8768,9489,10728,10560,10966,12283,12088,13446,15838,19640,, Especial,10348,10202,9913,9543,9355,9132,8681,8685,8812,9087,8907
39,   Ministerio de Educación,5873,6462,6937,7310,7627,7797,8658,7964,7482,6263,5928,5635,5518,5514,5412,4993,5306,5892,6116,6386,6614,6986,7084,7862,8016,7865,7645,6929,6859,4226,777,,      De ello: Mujeres,8365,8317,7971,3967,7605,7376,7061,6832,7062,7416,7420
40,   Ministerio de Salud Pública,4377,5465,5651,6103,6857,7269,6185,7844,7586,7846,8058,7974,7588,8210,8322,8064,8857,9397,8843,11755,13807,22643,31891,38374,38297,40539,29341,23594,21410,23175,22415,, Superior,53891,47355,44222,45490,43491,53627,,,,,
41,   Otros organismos,1388,1551,1687,1351,1492,1422,1551,1675,1657,1379,1453,1403,1349,1076,1114,1106,1219,1397,2147,1871,2477,3028,3771,5324,5636,6119,4622,4744,2507,2251,659,,   De ello: Mujeres,29918,21031,24663,25677,25518,31918,53313,53755,54059,54078,52703
42,   Otras,518,541,520,432,409,207,20,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,-,-,-,-,-,-,-,-,-,,  Ministerio de Educación Superior,12283,12088,13446,15838,19640,20387,32095,37912,33045,32807,32628
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Ministerio de Educación,7645,6929,6859,4226,777,-,19585,18630,18936,19524,18154
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Ministerio de Salud Pública,29341,23594,21410,23175,22415,32973,33461,34858,34844,34334,34334

