3,CONCEPTO, 1985/86, 1986/87, 1987/88, 1988/89, 1989/90, 1990/91, 1991/ 92, 1992/93, 1993/94, 1994/95, 1995/96, 1996/97, 1997/98, 1998/99, 1999/00, 2000/01, 2001/02, 2002/03, 2003/04, 2004/05, 2005/06, 2006/07, 2007/08, 2008/09, 2009/10, 2010/11, 2011/12, 2012/13, 2013/14, 2014/15, 2015/16,,CONCEPTO,  2011/12,  2012/13,  2013/14,  2014/15,  2015/16,  2016/17,  2017/18,  2018/19,  2019/20,2020/21,2021/22
26,  Ministerio de Educación Superior,4204,3584,3779,3245,2854,6999,3246,2538,1257,...,2648,2436,2918,2835,4095,4505,3519,4254,4709,5765,6671,2559,6022,2647,1699,1537,1798,3336,3164,8800,9929,,   Obrero calificado,20723,22750,23114,22361,21046,18304,13916,10904,8327,6245,5966
27,  Ministerio de Educación,1296,5583,3539,2309,6538,6003,3725,1709,2037,...,1181,1455,3646,5467,4702,7245,4760,-,270,-,-,293,1033,2937,3697,4079,2840,4993,4347,2875,1167,,    Ministerio de Educación ,20244,22360,22089,21080,19866,17537,13228,10397,7972,5981,5947
28,  Ministerio de Salud Pública,7021,37,64,6201,6127,6247,94,6716,141,...,104,33,44,643,652,661,668,684,2004,22938,59042,77140,61450,66438,41258,14432,29992,22948,23671,22395,29124,,    Otros organismos,479,390,1025,1281,1180,767,688,507,355,264,19
29,   Otros organismos,-,1529,2642,1889,2188,2439,1859,1686,1236,...,1245,1074,879,565,530,993,1535,1999,2311,3211,3721,3936,5001,4254,5954,6391,2475,2807,2524,2354,1185,,  Formación del personal pedagógico,6061,8831,10345,9278,7996,8121,9323,9829,10186,11054,11031
30,  Otras,1112,567,318,36,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,, Especial,24794,24549,23738,23707,23306,22602,22011,21815,22042,21030,20588
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Superior ,37105,34084,33706,36424,41405,38246,39538,42828,49989,45455,46845
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Ministerio de Educación Superior,1798,3336,3164,8800,9929,13339,11752,12885,16850,10975,10830
33,(a) Incluye prescolar de círculos infantiles. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Ministerio de Educación,2840,4993,4347,2875,1167,-,-,-,-,…,…
34,(b) Incluye las Escuelas de Oficios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Ministerio de Salud Pública,29992,22948,23671,22395,29124,24907,27484,29751,32479,33524,35185
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Otros organismos,2475,2807,2524,2354,1185,-,302,192,660,956,830
