CONCEPTO,2016,2017,2018,2019,2020,2021
Ciencias Técnicas,52,60,wee,wee,118,63
Ciencias Agropecuarias,14,22,wee,75,156,136
Ciencias Económicas,51,78,wee,66,146,187
Ciencias Médicas,516,454,wee,867,729,689
Ciencias Naturales y Matematicas,-,-,wee,74,wee,wee
Ciencias Sociales y Humanisticas,34,67,wee,74,134,121
Pedagogia,115,279,wee,752,506,558
Deporte y Cultura Fisica,6,20,wee,240,117,99
