Circulos,infantiles(en,Diciembre,31),28,29,29,29,29,29,
Capacidad,al,final,del,afio,4.801,4.821,4.821,4.821,"4.943,",4.943
Matricula,final,5.286,5.308,5.598,5.220,5.340,5.212,,,
De,ello:,Preescolar,1.107,"1.103,",1.102,1.149,1.122,993,,
Asistencia,promedio,anual,4.101,4.048,3.639,"(2.932,",3.105,3.709,,
Personal,técnico,educacional,811,871,880,907,877,897,,
De,ello:,Educadoras,graduadas,407,428,487,"550,",496,512,
Madres,beneficiadas,4.870,4.864,4.729,4.629,4.870,4.807,,,
