Ciencias,Técnicas,528,553,wee,759,522,wee,,
Ciencias,Agropecuarias,619,687,wee,926,763,wee,,
Ciencias,Econémicas,700,854,wee,1.072,1.089,wee,,
Ciencias,Médicas,4.659,4.154,wee,4.377,3.672,3.690,,
Ciencias,Naturales,y,Matematicas,140,-,wee,wee,,
Ciencias,Sociales,y,Humanisticas,564,660,wee,1.086,1.009,wee
Pedagogia,2.659,3.535,wee,4.708,4.164,wee,,,
Deporte,y,Cultura,Fisica,630,876,wee,1.070,1.039,wee
