Escuelas,646,652,651,"650,",651,667,
Personal,docente,15.733,14.121,14.938,"15.367,",15.434,14.805
Matricula,inicial,88.760,82.217,82.477,82.314,79.101,78.201
Graduados,16.709,14.976,15.844,18.411,"16.933,",,
Becarios,"5.843,",3.900,3.957,4.028,3.618,"3.053,",
Seminternos.,51.184,30.693,31.212,33.091,34.419,35.873,
