CONCEPTO,2016,2017,2018,2019,2020,2021
Primaria,2320,2477,2473,2982,2814,2798
Media,5229,4914,4459,4772,5058,4446
Secundaria basica,2791,2598,2337,2488,2345,2322
Preuniversitario,1403,1335,1397,1383,1144,971
Técnica y profesional,752,716,446,664,1356,822
Formación de personal pedagógico,283,265,279,237,297,331
Adultos,839,601,358,503,603,712
Especial,67,51,54,67,50,70
Superior,558,633,1252,1265,1082,-
