CONCEPTO,2019,2020,2021,2022
Urbana,2699,=,2989,=,32693,"198,",,
Rural,08,587,"485,",438,,,,
Escuela de Iniciación Deportiva,:,-,-,:,
Escuela Vocacional de Arte,-,:,-,:,
Secundaria basica,337332883158,3017,,,,,
De ello: En el campo,:,-,-,:,
Preuniversitario,1090,1270,«11301089,,,,,
De ello: En el campo,-,-,or,97
Tecnico medio,:,4s,19551834,,,,
Obrero calificado,:,176,242,178,,,
Escuelas de oficios,261,58,88,82,,
Formación de personal pedagógico,-,109,152,261,
Educación Obrero Campesina,126,48,"1""",-,,
Secundaria Obrero Campesina,61,27,49,19,,
Facultad Obrero Campesina,628,384,442,438,,
Idiomas,141,27,183,ot,,,,
