Circulos,infantiles(en,Diciembre,31),24,24,25,26,26,,
Capacidad,al,final,del,afio,2785,2785,2,805,2785,2855
Matricula,final,2,167,2,038,2290,2,262,1884,
De,ello:,Preescolar,156,147,189,155,160,,,
Asistencia,promedio,anual,1,662,1,763,1214,1,395,1382
Personal,técnico,educacional,375,410,436,440,570,,,
De,ello:,Educadoras,graduadas,270,288,316,143,111,,
Madres,beneficiadas,1991,1,906,2121,1,876,1811,,
