RAMAS DE LA CIENCIA,2019/20,2020/21,2021/22,2022/23,2023/24
Total,1013,706,1110,1053,815
Ciencias Técnicas,89,65,92,70,40
Ciencias Agropecuarias,46,39,64,45,30
Ciencias Económicas,179,135,213,193,130
Ciencias Naturales y Matemáticas,3,2,,0,0
Ciencias Sociales y Humanísticas,285,184,297,293,254
Pedagogía,333,228,375,424,342
Deporte y Cultura Física,78,53,69,28,19
