Total,(358,a7,(382,336,172,,,
Media,348,401,370,323,162,,,
‘Secundaria,basica,61,108,79,85,68,,
Preuniversitario:,172,199,(207,167,"100,",,,
Técnico,y,profesional,47,37,84,16,20,
De,ello:,Técnico,medio:,40,30,36,16,20
Formacién,de,Personal,Pedagégico,68,87,47,55,51
Especial,10,16,12,13,10,,,
