Circulos,infantiles(en,Diciembre,31),62,62,62,62,65,,,
Casitas,Infaltiles,-,-,-,-,3,15,,,,
Capacidad,al,final,del,afio,9385,9385,9385,9445,10010,10,"183,"
Matricula,final,9465,9664,9792,10,646,9843,9887,,,
De,ello:,Preescolar,2201,2096,2221,2574,994,1926,,,
Asistencia,promedio,anual,7535,7,653,7,323,6819,6,354,7026
Personal,técnico,educacional,1670,1802,"1853,",1763,1800,2694,,,
De,ello:,Educadoras,graduadas,864,929,1024,"1153,",1236,"1353,",,
Madres,beneficiadas,8639,8797,8,869,9450,8693,8931,,,
