CONCEPTO,2018,2019,2020,2021,2022,2023
Total,5286,5308,5598,5220,5340,5212
2° año,597,600,882,564,656,699
3° año,1076,1062,1075,1035,1062,1054
4° año,1257,1201,1201,1164,1208,1228
5° año,1249,1342,1344,1308,1292,1238
6° año,1107,1103,1096,1149,1122,993
