CONCEPTO,2018,2019,2020,2021,2022,2023
Círculos infantiles(en Diciembre 31),28,29,29,29,29,29
Capacidad al final del año,4801,4821,4821,4821,4943,4943
Matrícula final,5286,5308,5598,5220,5340,5212
De ello: Preescolar,1107,1103,1102,1149,1122,993
Asistencia promedio anual,4101,4048,3639,2932,3105,3709
Personal técnico educacional,811,871,880,907,877,897
De ello: Educadoras graduadas,407,428,487,550,496,512
Madres beneficiadas,4870,4864,4729,4629,4870,4807
