CONCEPTO,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
Escuelas,646,652,651,650,651,667
Personal docente,15733,14121,14938,15367,15434,14805
Matrícula inicial,88760,82217,82477,82314,79101,78201
Graduados,16709,14976,15844,18411,16933,...
Becarios,5843,3900,3957,4028,3618,3053
Seminternos,51184,30693,31212,33091,34419,35873
