CONCEPTO,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
Total,10499,11319,,13998,12258,3690
Ciencias Técnicas,528,553,,759,522,
Ciencias Agropecuarias,619,687,,926,763,
Ciencias Económicas,700,854,,1072,1089,
Ciencias Médicas,4659,4154,,4377,3672,3690
Ciencias Naturales y Matemáticas,140,0,,0,0,
Ciencias Sociales y Humanísticas,564,660,,1086,1009,
Pedagogía,2659,3535,,4708,4164,
Deporte y Cultura Física,630,876,,1070,1039,
