CONCEPTO,2018/19,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024
Total,1713,2764,2968,3501,5182,...
Universidad de Holguín Oscar Lucero Moya,744,1497,1707,2035,3615,...
Universidad de Moa Dr. Antonio Núñes Jiménes,184,131,133,237,282,...
Universidad de Ciencias Médicas Mariana Grajales Coello,785,1136,1128,1229,1285,...
