RAMAS DE LA CIENCIA,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024
Total,12665,14210,17547,17108,15225,12475
Universidad de Holguín Oscar Lucero Moya,7217,8023,10273,10570,9304,7578
Universidad de Moa Dr. Antonio Núñes Jiménes,626,653,727,775,723,895
Universidad de Ciencias Médicas Mariana Grajales Coello,4822,5534,6547,5763,5198,4002
