CONCEPTO,2018,2019,2020,2021,2022,2023
Total,7535,7653,7323,6819,6354,7026
2do año,750,753,740,761,594,719
3er año,1460,1489,1471,1463,1161,1528
4to año,1651,1762,1536,1036,1538,1547
5to año,1725,1801,1764,1757,1560,1711
6to año,1949,1848,1812,1802,1501,1521
