RAMAS DE LA CIENCIA,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024
Total,20241,22171,27077,26069,23009,18930
Universidad de Holguín Oscar Lucero Moya,11655,12732,16089,16342,14327,11749
Universidad de Moa Dr. Antonio Núñes Jiménes,1473,1469,1603,1758,1654,1684
Universidad de Ciencias Médicas Mariana Grajales Coello,7113,7970,9385,7969,7028,5497
