CONCEPTO,2018/19,2019/20,2020/21,2021/2022,2022/2023,2023/2024
Total,978,1718,1898,2250,2235,....
Universidad de Holguín Oscar Lucero Moya,397,1014,1111,1344,1190,...
Universidad de Moa Dr. Antonio Núñes Jiménes,70,39,51,95,123,...
Universidad de Ciencias Médicas Mariana Grajales Coello,511,665,736,811,922,...
