CONCEPTO,2018,2019,2020,2021,2022,2023
Total,9465,9664,9792,10646,9843,9887
2do año,1285,1296,1236,1635,1176,1368
3er año,1865,1932,1946,1999,2015,2082
4to año,2044,2155,2158,2181,2260,2167
5to año,2070,2185,2231,2257,2367,2344
6to año,2201,2096,2221,2574,2025,1926
